Book Author,Book Name,Chapter Name,Chapter Number,Page,Paragraph,Text,Topic
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,1,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 1.2 The Foundations of Artiﬁcial Intelligence . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,2,The History of Artiﬁcial Intelligence . . . . . . . . . . . . . . . . . . . . 16 1.4 The State of the Art . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,3,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 29 2 Intelligent Agents 34 2.1 Agents and Environments . . . . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,4,. . . . . . . . . . . . . . . . 36 2.3 The Nature of Environments . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,5,"The Structure of Agents . . . . . . . . . . . . . . . . . . . . . . . . . . . 46 2.5 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,6,Problem-Solving Agents . . . . . . . . . . . . . . . . . . . . . . . . . . . 64 3.2 Example Problems . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,7,Searching for Solutions . . . . . . . . . . . . . . . . . . . . . . . . . . . 75 3.4 Uninformed Search Strategies . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,8,Informed (Heuristic) Search Strategies . . . . . . . . . . . . . . . . . . . 92 . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,9,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 108 . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,10,Local Search in Continuous Spaces . . . . . . . . . . . . . . . . . . . . . 129 4.3 Searching with Nondeterministic Actions . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,11,Searching with Partial Observations . . . . . . . . . . . . . . . . . . . . . 138 . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,12,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 153 5.1 Games . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,13,. . . . . . . . . . . . . . . . . . . . . . . . 163 5.3 Alpha–Beta Pruning . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,14,Imperfect Real-Time Decisions . . . . . . . . . . . . . . . . . . . . . . . 171 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,15,Partially Observable Games . . . . . . . . . . . . . . . . . . . . . . . . . 180 . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,16,"Alternative Approaches . . . . . . . . . . . . . . . . . . . . . . . . . . . 187 5.9 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,17,. . . . . . . . . . . . . . . . . 202 6.2 Constraint Propagation: Inference in CSPs . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,18,Backtracking Search for CSPs . . . . . . . . . . . . . . . . . . . . . . . . 214 6.4 Local Search for CSPs . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,19,"The Structure of Problems . . . . . . . . . . . . . . . . . . . . . . . . . . 222 6.6 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,20,Knowledge-Based Agents . . . . . . . . . . . . . . . . . . . . . . . . . . 235 7.2 The Wumpus World . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,21,Logic . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 240 7.4 Propositional Logic: A Very Simple Logic . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,22,Propositional Theorem Proving . . . . . . . . . . . . . . . . . . . . . . . 249 . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,23,"Agents Based on Propositional Logic . . . . . . . . . . . . . . . . . . . . 265 7.8 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,24,. . . . . . . . . . . . . . . . . . . . . . . . . . 285 8.2 Syntax and Semantics of First-Order Logic . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,25,Using First-Order Logic . . . . . . . . . . . . . . . . . . . . . . . . . . . 300 8.4 Knowledge Engineering in First-Order Logic . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,26,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 313 9 Inference in First-Order Logic 322 9.1 Propositional vs. First-Order Inference . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,27,. . . . . . . . . . . . . . . . . . . . . . . . . . . 325 9.3 Forward Chaining . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,28,Backward Chaining . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 337 9.5 Resolution . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,29,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 357 10 Classical Planning 366 10.1 Deﬁnition of Classical Planning . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,15,30,Algorithms for Planning as State-Space Search . . . . . . . . . . . . . . . 373 10.3 Planning Graphs . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,31,Other Classical Planning Approaches . . . . . . . . . . . . . . . . . . . . 387 10.5 Analysis of Planning Approaches . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,32,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 393 11 Planning and Acting in the Real World 401 11.1 Time, Schedules, and Resources . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,33,Hierarchical Planning . . . . . . . . . . . . . . . . . . . . . . . . . . . . 406 11.3 Planning and Acting in Nondeterministic Domains . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,34,"Multiagent Planning . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 425 11.5 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,35,Ontological Engineering . . . . . . . . . . . . . . . . . . . . . . . . . . . 437 12.2 Categories and Objects . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,36,Events . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 446 12.4 Mental Events and Mental Objects . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,37,. . . . . . . . . . . . . . . . . . . . . 453 12.6 Reasoning with Default Information . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,38,"The Internet Shopping World . . . . . . . . . . . . . . . . . . . . . . . . 462 12.8 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,39,Acting under Uncertainty . . . . . . . . . . . . . . . . . . . . . . . . . . 480 13.2 Basic Probability Notation . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,40,Inference Using Full Joint Distributions . . . . . . . . . . . . . . . . . . . 490 13.4 Independence . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,41,Bayes’ Rule and Its Use . . . . . . . . . . . . . . . . . . . . . . . . . . . 495 13.6 The Wumpus World Revisited . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,42,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 503 14 Probabilistic Reasoning 510 14.1 Representing Knowledge in an Uncertain Domain . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,43,The Semantics of Bayesian Networks . . . . . . . . . . . . . . . . . . . . 513 14.3 Efﬁcient Representation of Conditional Distributions . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,44,Exact Inference in Bayesian Networks . . . . . . . . . . . . . . . . . . . 522 14.5 Approximate Inference in Bayesian Networks . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,45,Relational and First-Order Probability Models . . . . . . . . . . . . . . . 539 14.7 Other Approaches to Uncertain Reasoning . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,16,46,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 551 15 Probabilistic Reasoning over Time 566 15.1 Time and Uncertainty . . . . . . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,47,Inference in Temporal Models . . . . . . . . . . . . . . . . . . . . . . . . 570 15.3 Hidden Markov Models . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,48,Kalman Filters . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 584 15.5 Dynamic Bayesian Networks . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,49,"Keeping Track of Many Objects . . . . . . . . . . . . . . . . . . . . . . . 599 15.7 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,50,Combining Beliefs and Desires under Uncertainty . . . . . . . . . . . . . 610 16.2 The Basis of Utility Theory . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,51,Utility Functions . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 615 16.4 Multiattribute Utility Functions . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,52,Decision Networks . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 626 16.6 The Value of Information . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,53,"Decision-Theoretic Expert Systems . . . . . . . . . . . . . . . . . . . . . 633 16.8 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,54,Sequential Decision Problems . . . . . . . . . . . . . . . . . . . . . . . . 645 17.2 Value Iteration . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,55,Policy Iteration . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 656 17.4 Partially Observable MDPs . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,56,Decisions with Multiple Agents: Game Theory . . . . . . . . . . . . . . . 666 17.6 Mechanism Design . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,57,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 684 V Learning 18 Learning from Examples 693 18.1 Forms of Learning . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,58,Supervised Learning . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 695 18.3 Learning Decision Trees . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,59,Evaluating and Choosing the Best Hypothesis . . . . . . . . . . . . . . . 708 18.5 The Theory of Learning . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,60,Regression and Classiﬁcation with Linear Models . . . . . . . . . . . . . 717 18.7 Artiﬁcial Neural Networks . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,61,. . . . . . . . . . . . . . . . . . . . . . . . . . . 737 18.9 Support Vector Machines . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,62,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 748 18.11 Practical Machine Learning . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,17,63,"18.12 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 757 19 Knowledge in Learning 768 19.1 A Logical Formulation of Learning . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,64,Knowledge in Learning . . . . . . . . . . . . . . . . . . . . . . . . . . . 777 19.3 Explanation-Based Learning . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,65,Learning Using Relevance Information . . . . . . . . . . . . . . . . . . . 784 19.5 Inductive Logic Programming . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,66,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 797 20 Learning Probabilistic Models 802 20.1 Statistical Learning . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,67,Learning with Complete Data . . . . . . . . . . . . . . . . . . . . . . . . 806 20.3 Learning with Hidden Variables: The EM Algorithm . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,68,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 825 21 Reinforcement Learning 830 21.1 Introduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,69,. . . . . . . . . . . . . . . . . . . . . . 832 21.3 Active Reinforcement Learning . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,70,Generalization in Reinforcement Learning . . . . . . . . . . . . . . . . . 845 21.5 Policy Search . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,71,"Applications of Reinforcement Learning . . . . . . . . . . . . . . . . . . 850 21.7 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,72,Language Models . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 860 22.2 Text Classiﬁcation . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,73,. . . . . . . . . . . . . . . . . . . . . . . . . . . . 867 22.4 Information Extraction . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,74,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 882 23 Natural Language for Communication 888 23.1 Phrase Structure Grammars . . . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,75,Syntactic Analysis (Parsing) . . . . . . . . . . . . . . . . . . . . . . . . . 892 23.3 Augmented Grammars and Semantic Interpretation . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,76,Machine Translation . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 907 23.5 Speech Recognition . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,77,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 918 24 Perception 928 24.1 Image Formation . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,78,Early Image-Processing Operations . . . . . . . . . . . . . . . . . . . . . 935 24.3 Object Recognition by Appearance . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,18,79,Reconstructing the 3D World . . . . . . . . . . . . . . . . . . . . . . . . 947 24.5 Object Recognition from Structural Information . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,19,80,"Using Vision . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 961 24.7 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,19,81,Introduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 971 25.2 Robot Hardware . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,19,82,Robotic Perception . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 978 25.4 Planning to Move . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,19,83,Planning Uncertain Movements . . . . . . . . . . . . . . . . . . . . . . . 993 25.6 Moving . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
